trial_id,timestamp_utc,model_type,ranking,random_seed,score,k,N,threshold,tp,fp,p_oof_mean,features,hyperparameters
1,2026-06-05T11:14:12.252282+00:00,extra,ranking_xgb,1,5090,5,996,0.5532171359284576,738,258,0.49940423431102743,"[""V11"", ""V160"", ""V255"", ""V176"", ""V191""]","{""n_estimators"": 222, ""max_depth"": 8, ""min_samples_split"": 9, ""min_samples_leaf"": 6, ""criterion"": ""entropy"", ""class_weight"": ""balanced""}"
2,2026-06-05T11:14:24.874586+00:00,extra,ranking_xgb,2,5030,5,996,0.524861429937501,734,262,0.4974902167557437,"[""V11"", ""V160"", ""V255"", ""V176"", ""V191""]","{""n_estimators"": 87, ""max_depth"": 4, ""min_samples_split"": 5, ""min_samples_leaf"": 9, ""criterion"": ""gini"", ""class_weight"": null}"
3,2026-06-05T11:14:55.401927+00:00,extra,ranking_xgb,3,5045,5,999,0.5668396336750764,736,263,0.49904722892979314,"[""V11"", ""V160"", ""V255"", ""V176"", ""V191""]","{""n_estimators"": 218, ""max_depth"": null, ""min_samples_split"": 9, ""min_samples_leaf"": 9, ""criterion"": ""gini"", ""class_weight"": ""balanced""}"
4,2026-06-05T11:15:44.325671+00:00,extra,ranking_xgb,4,5145,5,997,0.5345883132610941,742,255,0.4974535030680081,"[""V11"", ""V160"", ""V255"", ""V176"", ""V191""]","{""n_estimators"": 412, ""max_depth"": 5, ""min_samples_split"": 2, ""min_samples_leaf"": 4, ""criterion"": ""gini"", ""class_weight"": null}"
5,2026-06-05T11:16:08.511272+00:00,extra,ranking_xgb,5,4985,5,999,0.5328884215402037,732,267,0.4998536820389314,"[""V11"", ""V160"", ""V255"", ""V176"", ""V191""]","{""n_estimators"": 172, ""max_depth"": 5, ""min_samples_split"": 8, ""min_samples_leaf"": 8, ""criterion"": ""entropy"", ""class_weight"": ""balanced""}"
6,2026-06-05T11:16:56.816197+00:00,extra,ranking_xgb,6,5115,5,1000,0.5618963682041462,741,259,0.49710058213935915,"[""V11"", ""V160"", ""V255"", ""V176"", ""V191""]","{""n_estimators"": 405, ""max_depth"": 11, ""min_samples_split"": 8, ""min_samples_leaf"": 7, ""criterion"": ""entropy"", ""class_weight"": null}"
7,2026-06-05T11:17:50.084264+00:00,extra,ranking_xgb,7,5060,5,996,0.5853138660548124,736,260,0.4965948899472045,"[""V11"", ""V160"", ""V255"", ""V176"", ""V191""]","{""n_estimators"": 444, ""max_depth"": 14, ""min_samples_split"": 3, ""min_samples_leaf"": 4, ""criterion"": ""gini"", ""class_weight"": null}"
8,2026-06-05T11:18:18.220614+00:00,extra,ranking_xgb,8,5050,5,989,0.5439864125406624,733,256,0.49736465705458666,"[""V11"", ""V160"", ""V255"", ""V176"", ""V191""]","{""n_estimators"": 225, ""max_depth"": 7, ""min_samples_split"": 6, ""min_samples_leaf"": 7, ""criterion"": ""gini"", ""class_weight"": null}"
9,2026-06-05T11:19:04.437935+00:00,extra,ranking_xgb,9,5055,5,1000,0.5330435957097682,737,263,0.4974973078996431,"[""V11"", ""V160"", ""V255"", ""V176"", ""V191""]","{""n_estimators"": 390, ""max_depth"": 5, ""min_samples_split"": 3, ""min_samples_leaf"": 6, ""criterion"": ""entropy"", ""class_weight"": null}"
10,2026-06-05T11:19:56.078928+00:00,extra,ranking_xgb,10,5075,5,999,0.553784090027784,738,261,0.4972194578985035,"[""V11"", ""V160"", ""V255"", ""V176"", ""V191""]","{""n_estimators"": 432, ""max_depth"": 9, ""min_samples_split"": 6, ""min_samples_leaf"": 6, ""criterion"": ""entropy"", ""class_weight"": null}"
11,2026-06-05T11:20:34.427467+00:00,extra,ranking_xgb,11,4995,5,1000,0.5677580349928757,733,267,0.4971130991781565,"[""V11"", ""V160"", ""V255"", ""V176"", ""V191""]","{""n_estimators"": 315, ""max_depth"": 11, ""min_samples_split"": 7, ""min_samples_leaf"": 5, ""criterion"": ""gini"", ""class_weight"": null}"
12,2026-06-05T11:21:29.019308+00:00,extra,ranking_xgb,12,5085,5,1000,0.5637937447582049,739,261,0.49709815430593446,"[""V11"", ""V160"", ""V255"", ""V176"", ""V191""]","{""n_estimators"": 459, ""max_depth"": 9, ""min_samples_split"": 9, ""min_samples_leaf"": 1, ""criterion"": ""entropy"", ""class_weight"": null}"
13,2026-06-05T11:22:14.718358+00:00,extra,ranking_xgb,13,5070,5,1000,0.5551741302608129,738,262,0.49731906712080837,"[""V11"", ""V160"", ""V255"", ""V176"", ""V191""]","{""n_estimators"": 381, ""max_depth"": 9, ""min_samples_split"": 5, ""min_samples_leaf"": 7, ""criterion"": ""entropy"", ""class_weight"": null}"
14,2026-06-05T11:23:05.882991+00:00,extra,ranking_xgb,14,5050,5,998,0.544681237422466,736,262,0.49970483473845195,"[""V11"", ""V160"", ""V255"", ""V176"", ""V191""]","{""n_estimators"": 388, ""max_depth"": 6, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""criterion"": ""entropy"", ""class_weight"": ""balanced""}"
15,2026-06-05T11:23:26.141174+00:00,extra,ranking_xgb,15,4920,5,1000,0.5197900337946436,728,272,0.4975189365319761,"[""V11"", ""V160"", ""V255"", ""V176"", ""V191""]","{""n_estimators"": 157, ""max_depth"": 3, ""min_samples_split"": 2, ""min_samples_leaf"": 7, ""criterion"": ""gini"", ""class_weight"": null}"
16,2026-06-05T11:24:06.048446+00:00,extra,ranking_xgb,16,5010,5,1000,0.53626491080526,734,266,0.4998804889600464,"[""V11"", ""V160"", ""V255"", ""V176"", ""V191""]","{""n_estimators"": 295, ""max_depth"": 5, ""min_samples_split"": 6, ""min_samples_leaf"": 6, ""criterion"": ""gini"", ""class_weight"": ""balanced""}"
17,2026-06-05T11:24:33.633879+00:00,extra,ranking_xgb,17,5015,5,999,0.5472829580885393,734,265,0.49751374269947374,"[""V11"", ""V160"", ""V255"", ""V176"", ""V191""]","{""n_estimators"": 219, ""max_depth"": 7, ""min_samples_split"": 8, ""min_samples_leaf"": 6, ""criterion"": ""entropy"", ""class_weight"": null}"
18,2026-06-05T11:24:54.592263+00:00,extra,ranking_xgb,18,5220,5,1000,0.5579413526781373,748,252,0.4971636066001693,"[""V11"", ""V160"", ""V255"", ""V176"", ""V191""]","{""n_estimators"": 161, ""max_depth"": 10, ""min_samples_split"": 3, ""min_samples_leaf"": 7, ""criterion"": ""entropy"", ""class_weight"": null}"
19,2026-06-05T11:25:36.504452+00:00,extra,ranking_xgb,19,4965,5,1000,0.5238423284992193,731,269,0.49752089379832815,"[""V11"", ""V160"", ""V255"", ""V176"", ""V191""]","{""n_estimators"": 348, ""max_depth"": 4, ""min_samples_split"": 5, ""min_samples_leaf"": 9, ""criterion"": ""gini"", ""class_weight"": null}"
20,2026-06-05T11:25:57.243797+00:00,extra,ranking_xgb,20,5100,5,1000,0.5671331380262559,740,260,0.4990363358924932,"[""V11"", ""V160"", ""V255"", ""V176"", ""V191""]","{""n_estimators"": 143, ""max_depth"": 12, ""min_samples_split"": 8, ""min_samples_leaf"": 6, ""criterion"": ""gini"", ""class_weight"": ""balanced""}"
21,2026-06-05T11:26:45.688962+00:00,extra,ranking_xgb,21,5045,5,999,0.5740881288610603,736,263,0.4968588499130803,"[""V11"", ""V160"", ""V255"", ""V176"", ""V191""]","{""n_estimators"": 405, ""max_depth"": 13, ""min_samples_split"": 4, ""min_samples_leaf"": 5, ""criterion"": ""gini"", ""class_weight"": null}"
22,2026-06-05T11:27:16.749416+00:00,extra,ranking_xgb,22,4985,5,993,0.5255141961181118,730,263,0.4974649315452398,"[""V11"", ""V160"", ""V255"", ""V176"", ""V191""]","{""n_estimators"": 257, ""max_depth"": 4, ""min_samples_split"": 2, ""min_samples_leaf"": 5, ""criterion"": ""entropy"", ""class_weight"": null}"
23,2026-06-05T11:28:12.447885+00:00,extra,ranking_xgb,23,5010,5,1000,0.5305679135204528,734,266,0.4999018260356166,"[""V11"", ""V160"", ""V255"", ""V176"", ""V191""]","{""n_estimators"": 423, ""max_depth"": 4, ""min_samples_split"": 6, ""min_samples_leaf"": 1, ""criterion"": ""gini"", ""class_weight"": ""balanced""}"
24,2026-06-05T11:28:31.595757+00:00,extra,ranking_xgb,24,4965,5,1000,0.5658832121059315,731,269,0.4992217682633985,"[""V11"", ""V160"", ""V255"", ""V176"", ""V191""]","{""n_estimators"": 133, ""max_depth"": 14, ""min_samples_split"": 8, ""min_samples_leaf"": 9, ""criterion"": ""entropy"", ""class_weight"": ""balanced""}"
25,2026-06-05T11:29:33.365946+00:00,extra,ranking_xgb,25,5060,5,996,0.595451384261182,736,260,0.49808287286349207,"[""V11"", ""V160"", ""V255"", ""V176"", ""V191""]","{""n_estimators"": 468, ""max_depth"": 13, ""min_samples_split"": 5, ""min_samples_leaf"": 1, ""criterion"": ""entropy"", ""class_weight"": ""balanced""}"
26,2026-06-05T11:29:58.527188+00:00,extra,ranking_xgb,26,5085,5,1000,0.549134328423601,739,261,0.4995267068334616,"[""V11"", ""V160"", ""V255"", ""V176"", ""V191""]","{""n_estimators"": 182, ""max_depth"": 8, ""min_samples_split"": 8, ""min_samples_leaf"": 7, ""criterion"": ""gini"", ""class_weight"": ""balanced""}"
27,2026-06-05T11:30:46.506848+00:00,extra,ranking_xgb,27,4995,5,997,0.5709815818291814,732,265,0.49929813610401297,"[""V11"", ""V160"", ""V255"", ""V176"", ""V191""]","{""n_estimators"": 359, ""max_depth"": 13, ""min_samples_split"": 8, ""min_samples_leaf"": 7, ""criterion"": ""gini"", ""class_weight"": ""balanced""}"
28,2026-06-05T11:30:56.606260+00:00,extra,ranking_xgb,28,5070,5,1000,0.5549246511525073,738,262,0.49695691655382446,"[""V11"", ""V160"", ""V255"", ""V176"", ""V191""]","{""n_estimators"": 69, ""max_depth"": 12, ""min_samples_split"": 2, ""min_samples_leaf"": 9, ""criterion"": ""entropy"", ""class_weight"": null}"
29,2026-06-05T11:31:37.434099+00:00,extra,ranking_xgb,29,4965,5,1000,0.5218564177406743,731,269,0.4998539431464498,"[""V11"", ""V160"", ""V255"", ""V176"", ""V191""]","{""n_estimators"": 307, ""max_depth"": 3, ""min_samples_split"": 3, ""min_samples_leaf"": 6, ""criterion"": ""gini"", ""class_weight"": ""balanced""}"
30,2026-06-05T11:32:27.790756+00:00,extra,ranking_xgb,30,5010,5,1000,0.5688530221473621,734,266,0.49703440250732966,"[""V11"", ""V160"", ""V255"", ""V176"", ""V191""]","{""n_estimators"": 421, ""max_depth"": 10, ""min_samples_split"": 6, ""min_samples_leaf"": 3, ""criterion"": ""gini"", ""class_weight"": null}"
31,2026-06-05T11:33:13.520736+00:00,extra,ranking_xgb,31,4940,5,999,0.5651494229528017,729,270,0.49929142089073414,"[""V11"", ""V160"", ""V255"", ""V176"", ""V191""]","{""n_estimators"": 343, ""max_depth"": 10, ""min_samples_split"": 7, ""min_samples_leaf"": 5, ""criterion"": ""entropy"", ""class_weight"": ""balanced""}"
32,2026-06-05T11:33:49.990910+00:00,extra,ranking_xgb,32,4860,5,1000,0.6432179979968112,724,276,0.4973553401897416,"[""V11"", ""V160"", ""V255"", ""V176"", ""V191""]","{""n_estimators"": 260, ""max_depth"": null, ""min_samples_split"": 9, ""min_samples_leaf"": 1, ""criterion"": ""entropy"", ""class_weight"": ""balanced""}"
